Inst,STABBR,PublicPrivate,md_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10
"<a href=""http://www.aai.edu"">Arizona Automotive Institute</a>",AZ,28404,33900,48100,64900
"<a href=""http://www.brooklinecollege.edu"">Brookline College-Phoenix</a>",AZ,25566,22300,33200,44000
"<a href=""http://www.asu.edu/"">Arizona State University-Tempe</a>",AZ,11480,45200,67500,93300
"<a href=""http://www.azwestern.edu"">Arizona Western College</a>",AZ,9095,25600,39100,57600
"<a href=""http://www.arizona.edu"">University of Arizona</a>",AZ,13617,44400,69900,99400
"<a href=""http://www.suva.edu"">Southwest University of Visual Arts-Tucson</a>",AZ,46298,27500,38300,54100
"<a href=""http://www.centralaz.edu"">Central Arizona College</a>",AZ,4310,28700,42500,59800
"<a href=""http://www.brownmackie.edu"">Brown Mackie College-Tucson</a>",AZ,19957,25200,39500,53800
"<a href=""http://www.cochise.edu"">Cochise College</a>",AZ,5017,31200,50200,74600
"<a href=""http://www.empire.edu"">Empire Beauty School-Flagstaff</a>",AZ,12798,16900,29700,47600
"<a href=""http://www.empire.edu"">Empire Beauty School-Chandler</a>",AZ,12513,16900,29700,47600
"<a href=""http://www.cortiva.com/"">Cortiva Institute-Tucson</a>",AZ,19534,21800,33400,53200
"<a href=""http://www.avalon.com"">Avalon School of Cosmetology-Mesa</a>",AZ,11591,17900,32100,42600
"<a href=""http://www.eac.edu"">Eastern Arizona College</a>",AZ,534,27800,46100,67500
"<a href=""http://www.erau.edu"">Embry-Riddle Aeronautical University-Prescott</a>",AZ,35470,60900,84500,115500
"<a href=""http://www.gccaz.edu"">Glendale Community College</a>",AZ,7763,33300,49000,69300
"<a href=""http://www.gcu.edu"">Grand Canyon University</a>",AZ,28309,45200,72100,96100
"<a href=""http://www.anthem.edu"">Anthem College-Phoenix</a>",AZ,28541,29500,42900,59200
"<a href=""http://www.kaplancollege.com/phoenix-az/"">Kaplan College-Phoenix</a>",AZ,17360,26300,38500,52200
"<a href=""http://www.gatewaycc.edu"">GateWay Community College</a>",AZ,8106,29800,47500,71800
"<a href=""http://www.mesacc.edu"">Mesa Community College</a>",AZ,8868,36000,55100,77700
"<a href=""http://www.itt-tech.edu"">ITT Technical Institute-Tucson</a>",AZ,22313,38400,56000,77000
"<a href=""http://www.itt-tech.edu"">ITT Technical Institute-Tempe</a>",AZ,22617,38400,56000,77000
"<a href=""http://www.mohave.edu"">Mohave Community College</a>",AZ,11346,26700,42000,62300
"<a href=""http://www.uti.edu/"">Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division</a>",AZ,19523,33800,47600,64200
"<a href=""http://www.dinecollege.edu"">Dine College</a>",AZ,8382,22500,34300,45700
"<a href=""http://nau.edu/"">Northern Arizona University</a>",AZ,15011,38800,55700,77800
"<a href=""http://www.npc.edu"">Northland Pioneer College</a>",AZ,9172,22100,37000,54700
"<a href=""http://www.phoenixcollege.edu"">Phoenix College</a>",AZ,8091,32500,47100,65400
"<a href=""http://www.cortiva.com/"">Cortiva Institute-Scottsdale</a>",AZ,15318,25400,39700,55100
"<a href=""http://www.phoenix.edu"">University of Phoenix-Phoenix Campus</a>",AZ,18899,53400,79600,110100
"<a href=""http://www.pima.edu"">Pima Community College</a>",AZ,2759,30100,45800,66100
"<a href=""http://pmi.edu"">Pima Medical Institute-Tucson</a>",AZ,16972,27600,39100,53300
"<a href=""http://pmi.edu"">Pima Medical Institute-Albuquerque</a>",NM,15231,27600,39100,53300
"<a href=""http://www.prescott.edu"">Prescott College</a>",AZ,23432,35200,47800,63500
"<a href=""http://refrigerationschool.com"">Refrigeration School Inc</a>",AZ,20099,37700,56400,73300
"<a href=""http://www.rio.maricopa.edu"">Rio Salado College</a>",AZ,8214,36600,54600,75000
"<a href=""http://www.scottsdalecc.edu"">Scottsdale Community College</a>",AZ,9264,35700,55100,80000
"<a href=""http://www.southmountaincc.edu"">South Mountain Community College</a>",AZ,7948,27100,39400,54300
"<a href=""http://www.arizonachristian.edu"">Arizona Christian University</a>",AZ,22493,31000,41600,52100
"<a href=""http://www.tucsoncollege.edu"">Tucson College</a>",AZ,18630,24100,34500,48000
"<a href=""http://www.uti.edu"">Universal Technical Institute of Arizona Inc</a>",AZ,21445,43400,59800,78900
"<a href=""http://www.west.edu"">Western International University</a>",AZ,20176,52600,76400,99600
"<a href=""http://www.YC.EDU"">Yavapai College</a>",AZ,8254,28200,45200,67000
"<a href=""http://ualr.edu/www/"">University of Arkansas at Little Rock</a>",AR,10087,34800,49800,70000
"<a href=""http://www.arkansasbaptist.edu"">Arkansas Baptist College</a>",AR,17087,21100,33300,42400
"<a href=""http://www.lyon.edu"">Lyon College</a>",AR,12350,37200,50800,71300
"<a href=""http://www.uark.edu"">University of Arkansas</a>",AR,11861,43600,63000,87200
"<a href=""http://www.uapb.edu"">University of Arkansas at Pine Bluff</a>",AR,7695,27400,40900,58000
"<a href=""http://www2.astate.edu"">Arkansas State University-Main Campus</a>",AR,9475,32700,47100,67100
"<a href=""http://www.atu.edu"">Arkansas Tech University</a>",AR,9128,35000,49800,69600
"<a href=""http://www.uamont.edu"">University of Arkansas at Monticello</a>",AR,9828,33600,49300,68500
"<a href=""http://arthursbeautycollege.com"">Arthur's Beauty College Inc-Jacksonville</a>",AR,10946,15400,26000,34500
"<a href=""http://www.bhslr.edu"">Baptist Health Schools-Little Rock</a>",AR,15238,42100,58700,73300
"<a href=""http://www.blackrivertech.edu"">Black River Technical College</a>",AR,5481,26600,38800,55100
"<a href=""http://www.uca.edu"">University of Central Arkansas</a>",AR,9693,37100,52900,73600
"<a href=""http://www.cbc.edu"">Central Baptist College</a>",AR,11539,35700,53800,67100
"<a href=""http://www.cccua.edu/"">Cossatot Community College of the University of Arkansas</a>",AR,5219,21000,34700,50900
"<a href=""http://www.crti.tec.ar.us"">Crowley's Ridge Technical Institute</a>",AR,3443,20200,31300,42600
"<a href=""http://WWW.EACC.EDU"">East Arkansas Community College</a>",AR,3051,23100,34000,50600
"<a href=""http://www.easterncollege.edu"">Eastern College of Health Vocations-Little Rock</a>",AR,12460,19700,29700,36900
"<a href=""http://www.npcc.edu"">National Park Community College</a>",AR,8691,25000,39100,53200
"<a href=""http://www.uaccb.edu"">University of Arkansas Community College-Batesville</a>",AR,2702,23900,37500,55800
"<a href=""http://www.harding.edu"">Harding University</a>",AR,23534,38600,55500,77800
"<a href=""http://www.hsu.edu"">Henderson State University</a>",AR,8049,35200,48300,67300
"<a href=""http://www.hendrix.edu"">Hendrix College</a>",AR,22231,40500,56600,75800
"<a href=""http://www.jbu.edu"">John Brown University</a>",AR,17550,46200,74800,106800
"<a href=""http://www.midsouthcc.edu"">Mid-South Community College</a>",AR,10158,21800,33100,43100
"<a href=""http://www.anc.edu"">Arkansas Northeastern College</a>",AR,6694,22500,36000,55000
"<a href=""http://www.northark.edu"">North Arkansas College</a>",AR,4094,25500,37700,53400
"<a href=""http://www.nwti.edu"">Northwest Technical Institute</a>",AR,7077,27800,38800,53800
"<a href=""http://www.obu.edu"">Ouachita Baptist University</a>",AR,16424,37500,53600,77700
"<a href=""http://www.coto.edu"">College of the Ouachitas</a>",AR,8758,24100,37200,50400
"<a href=""http://www.ozarka.edu"">Ozarka College</a>",AR,6035,25200,37800,54000
"<a href=""http://www.ozarks.edu"">University of the Ozarks</a>",AR,15402,31100,46400,62900
"<a href=""http://www.uaccm.edu"">University of Arkansas Community College-Morrilton</a>",AR,6770,25600,40000,55500
"<a href=""http://www.philander.edu"">Philander Smith College</a>",AR,19029,26200,38600,57200
"<a href=""http://www.pccua.edu"">Phillips Community College of the University of Arkansas</a>",AR,10838,21200,32000,46800
"<a href=""http://www.seark.edu"">Southeast Arkansas College</a>",AR,5233,26700,40300,57000
"<a href=""http://www.pulaskitech.edu"">Pulaski Technical College</a>",AR,13349,28700,41100,57000
"<a href=""http://www.uacch.edu"">University of Arkansas Community College-Hope</a>",AR,8562,23000,38900,54400
"<a href=""http://www.rmcc.edu"">Rich Mountain Community College</a>",AR,4538,21300,33800,46300
"<a href=""http://www.wbcoll.edu"">Williams Baptist College</a>",AR,11326,32300,43300,61900
"<a href=""http://www.southark.edu"">South Arkansas Community College</a>",AR,12545,26100,39600,57500
"<a href=""http://WWW.SAUMAG.EDU"">Southern Arkansas University Main Campus</a>",AR,7543,35900,50400,70600
"<a href=""http://www.sautech.edu"">Southern Arkansas University Tech</a>",AR,10119,26800,40800,53300
"<a href=""http://uafs.edu/"">University of Arkansas-Fort Smith</a>",AR,6727,29900,44500,62300
"<a href=""http://www.academyart.edu"">Academy of Art University</a>",CA,30100,36100,62100,90600
"<a href=""http://www.itt-tech.edu"">ITT Technical Institute-Rancho Cordova</a>",CA,23022,38400,56000,77000
"<a href=""http://WWW.ARBRADIO.COM"">The Academy of Radio and TV Broadcasting</a>",CA,20059,28500,44100,59300
"<a href=""http://www.peralta.edu"">College of Alameda</a>",CA,3873,34300,52900,75200
"<a href=""http://www.hancockcollege.edu/"">Allan Hancock College</a>",CA,4896,29500,44600,64800
"<a href=""http://WWW.AADA.EDU"">American Academy of Dramatic Arts-Los Angeles</a>",CA,41436,30200,46400,58900
"<a href=""http://americancareercollege.edu/"">American Career College-Los Angeles</a>",CA,25881,29800,43300,59200
"<a href=""http://www.arc.losrios.edu/"">American River College</a>",CA,6426,27600,47100,69300
"<a href=""http://www.bryman.edu"">Everest College-Hayward</a>",CA,26407,21400,33000,48200
"<a href=""http://www.avc.edu"">Antelope Valley College</a>",CA,5405,27000,45200,68300
"<a href=""http://www.artcenter.edu"">Art Center College of Design</a>",CA,43083,51700,85000,114700
"<a href=""http://www.atcla.edu"">Associated Technical College-Los Angeles</a>",CA,18373,21900,35300,51900
"<a href=""http://www.associatedtechcollege.com"">Associated Technical College-San Diego</a>",CA,20138,19500,34300,45400
"<a href=""http://www.apu.edu"">Azusa Pacific University</a>",CA,28516,49000,69500,92800
"<a href=""http://www.bakersfieldcollege.edu/"">Bakersfield College</a>",CA,2898,29700,48200,73000
"<a href=""http://www.barstow.edu"">Barstow Community College</a>",CA,9214,31800,52200,70700
"<a href=""http://www.bellusacademy.edu"">Bellus Academy-National City</a>",CA,21160,14800,30000,37800
"<a href=""http://www.biola.edu"">Biola University</a>",CA,32140,40700,62400,84500
"<a href=""http://www.brooks.edu"">Brooks Institute</a>",CA,29203,29100,51000,73200
"<a href=""http://www.butte.edu"">Butte College</a>",CA,5224,29800,48700,74200
"<a href=""http://www.cabrillo.edu"">Cabrillo College</a>",CA,6841,32100,52200,81800
"<a href=""http://www.calbaptist.edu"">California Baptist University</a>",CA,23137,41800,58400,76500
"<a href=""http://www.cca.edu"">California College of the Arts</a>",CA,30719,35700,63100,100300
"<a href=""http://www.caltech.edu"">California Institute of Technology</a>",CA,25667,74000,125400,189000
"<a href=""http://www.callutheran.edu/"">California Lutheran University</a>",CA,28107,52900,72500,96300
"<a href=""http://calpoly.edu"">California Polytechnic State University-San Luis Obispo</a>",CA,17112,60900,86400,112300
"<a href=""http://www.alliant.edu"">Alliant International University</a>",CA,19768,51800,79600,103900
"<a href=""http://www.csub.edu"">California State University-Bakersfield</a>",CA,8634,48100,63600,81900
"<a href=""http://www.csustan.edu"">California State University-Stanislaus</a>",CA,7797,44900,58200,75100
"<a href=""http://www.csusb.edu"">California State University-San Bernardino</a>",CA,7619,45500,62600,81000
"<a href=""http://www.csupomona.edu"">California State Polytechnic University-Pomona</a>",CA,12135,52000,74000,96700
"<a href=""http://www.csuchico.edu"">California State University-Chico</a>",CA,15184,45100,66100,91400
"<a href=""http://www.csudh.edu"">California State University-Dominguez Hills</a>",CA,3698,42800,61700,80600
"<a href=""http://www.csufresno.edu"">California State University-Fresno</a>",CA,7093,43200,61100,83800
"<a href=""http://www.fullerton.edu"">California State University-Fullerton</a>",CA,9034,46500,65500,88000
"<a href=""http://www.csueastbay.edu"">California State University-East Bay</a>",CA,12535,51300,71600,97900
"<a href=""http://www.csulb.edu"">California State University-Long Beach</a>",CA,9699,46900,67000,88000
"<a href=""http://www.calstatela.edu"">California State University-Los Angeles</a>",CA,5431,44900,61900,81700
"<a href=""http://www.csun.edu"">California State University-Northridge</a>",CA,11439,44200,63700,84800
"<a href=""http://www.csus.edu"">California State University-Sacramento</a>",CA,10614,46500,65200,90700
"<a href=""http://www.berkeley.edu"">University of California-Berkeley</a>",CA,13769,62700,97600,149700
"<a href=""http://www.ucdavis.edu"">University of California-Davis</a>",CA,15054,57100,85500,117500
"<a href=""http://www.uci.edu/"">University of California-Irvine</a>",CA,11944,55800,80500,108500
"<a href=""http://www.ucla.edu/"">University of California-Los Angeles</a>",CA,13723,59200,88600,128000
"<a href=""http://WWW.UCR.EDU"">University of California-Riverside</a>",CA,11473,48700,68500,92800
"<a href=""http://www.ucsd.edu"">University of California-San Diego</a>",CA,14421,59600,88100,122700
"<a href=""http://www.ucsb.edu"">University of California-Santa Barbara</a>",CA,14142,52000,75800,104800
"<a href=""http://www.ucsc.edu/"">University of California-Santa Cruz</a>",CA,15107,44600,64400,90100
"<a href=""http://www.caculinary.edu"">Le Cordon Bleu College of Culinary Arts-San Francisco</a>",CA,18868,32800,52100,74900
"<a href=""http://chdaschools.com"">California Hair Design Academy</a>",CA,15449,16500,30600,46200
"<a href=""http://www.calarts.edu"">California Institute of the Arts</a>",CA,42600,32500,60300,96900
"<a href=""http://www.csum.edu"">California Maritime Academy</a>",CA,16974,81100,110300,141200
"<a href=""http://canadacollege.edu"">Canada College</a>",CA,2778,29300,47400,72800
"<a href=""http://www.canyons.edu"">College of the Canyons</a>",CA,5954,34200,54400,79400
"<a href=""http://CAofB.com"">Career Academy of Beauty</a>",CA,11184,18400,32700,45700
"<a href=""http://www.casalomacollege.edu"">Casa Loma College-Van Nuys</a>",CA,25630,47400,61000,84600
"<a href=""http://www.cetweb.org/index.php"">CET-San Diego</a>",CA,14109,21600,33400,45700
"<a href=""http://cetweb.org"">CET-Sobrato</a>",CA,12906,21600,33400,45700
"<a href=""http://cetweb.org"">CET-San Bernardino</a>",CA,12322,21600,33400,45700
"<a href=""http://www.cetweb.org"">CET-Watsonville</a>",CA,11479,21600,33400,45700
"<a href=""http://cetweb.org"">CET-Gilroy</a>",CA,4571,21600,33400,45700
"<a href=""http://cetweb.org"">CET-Salinas</a>",CA,12479,21600,33400,45700
"<a href=""http://www.cerritos.edu"">Cerritos College</a>",CA,3155,31400,47700,67000
"<a href=""http://cerrocoso.edu"">Cerro Coso Community College</a>",CA,5413,24900,44700,69800
"<a href=""http://www.chabotcollege.edu"">Chabot College</a>",CA,5504,32900,54200,77300
"<a href=""http://www.chaffey.edu"">Chaffey College</a>",CA,7933,28100,46800,64300
"<a href=""http://www.chapman.edu"">Chapman University</a>",CA,33821,51800,68800,90100
"<a href=""http://www.cdrewu.edu"">Charles R Drew University of Medicine and Science</a>",CA,22741,63000,107800,136200
"<a href=""http://www.cui.edu"">Concordia University-Irvine</a>",CA,25416,42100,63300,84300
"<a href=""http://www.sdcc.edu"">San Diego Christian College</a>",CA,25314,34400,53700,75800
"<a href=""http://www.citruscollege.edu"">Citrus College</a>",CA,2185,29100,46100,65100
"<a href=""http://www.ccsf.edu"">City College of San Francisco</a>",CA,3696,36900,58100,90000
"<a href=""http://www.claremontmckenna.edu/"">Claremont McKenna College</a>",CA,22957,63600,107800,164000
"<a href=""http://www.milaninstitute.edu"">Milan Institute-Visalia</a>",CA,18388,23400,36000,54700
"<a href=""http://www.clovisadultschool.com"">Clovis Adult Education</a>",CA,12685,33000,51500,64000
"<a href=""http://www.coastline.edu"">Coastline Community College</a>",CA,5379,30500,52100,71400
"<a href=""http://www.coleman.edu"">Coleman University</a>",CA,26043,49200,72200,93400
"<a href=""http://www.gocolumbia.edu/"">Columbia College</a>",CA,6540,23000,40600,66500
"<a href=""http://www.compton.edu"">El Camino College-Compton Center</a>",CA,6723,30200,47100,71000
"<a href=""http://www.contracosta.edu"">Contra Costa College</a>",CA,9257,29000,48400,72600
"<a href=""http://www.crc.losrios.edu/"">Cosumnes River College</a>",CA,7626,28000,46000,66000
"<a href=""http://www.craftonhills.edu"">Crafton Hills College</a>",CA,10675,30500,49200,71300
"<a href=""http://WWW.CUESTA.EDU"">Cuesta College</a>",CA,9873,32900,55500,79000
"<a href=""http://www.cuyamaca.edu"">Cuyamaca College</a>",CA,1822,26800,44000,63200
"<a href=""http://www.cypresscollege.edu"">Cypress College</a>",CA,4265,33000,51700,74800
"<a href=""http://www.deanza.edu/"">De Anza College</a>",CA,4177,43600,68400,98700
"<a href=""http://collegeofthedesert.edu"">College of the Desert</a>",CA,7943,29700,45700,65400
"<a href=""http://WWW.DISD.EDU"">Design Institute of San Diego</a>",CA,23265,33900,51100,66700
"<a href=""http://www.dvc.edu"">Diablo Valley College</a>",CA,8623,38300,58800,87800
"<a href=""http://www.dominican.edu"">Dominican University of California</a>",CA,32053,51400,77500,124200
"<a href=""http://www.elac.edu/index.htm"">East Los Angeles College</a>",CA,8881,31600,47500,69100
"<a href=""http://www.elcamino.edu"">El Camino Community College District</a>",CA,10072,30200,47100,71000
"<a href=""http://www.empcol.edu"">Empire College School of Business</a>",CA,15861,34500,47500,64500
"<a href=""http://www.evc.edu"">Evergreen Valley College</a>",CA,8192,32700,49400,76200
"<a href=""http://www.fidm.edu"">Fashion Institute of Design & Merchandising-Los Angeles</a>",CA,38960,34500,54000,79100
"<a href=""http://WWW.FIDM.EDU"">Fashion Institute of Design & Merchandising-San Francisco</a>",CA,36184,34500,54000,79100
"<a href=""http://FIDM.edu"">Fashion Institute of Design & Merchandising-Orange County</a>",CA,33234,34500,54000,79100
"<a href=""http://www.frc.edu"">Feather River Community College District</a>",CA,9405,26900,44100,58900
"<a href=""http://federico.edu"">Federico Beauty Institute</a>",CA,17151,21000,39500,52000
"<a href=""http://www.foothill.edu"">Foothill College</a>",CA,4743,47600,83500,117600
"<a href=""http://www.fresnocitycollege.edu"">Fresno City College</a>",CA,4947,26000,41800,62400
"<a href=""http://www.fresno.edu"">Fresno Pacific University</a>",CA,15403,39700,55700,73300
