Inst,STABBR,PublicPrivate,md_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10
"<a href=""http://www.lincolntech.com"">Lincoln Technical Institute-East Windsor</a>",CT,17544,37300,51000,65100
"<a href=""http://www.easternct.edu/"">Eastern Connecticut State University</a>",CT,18364,42400,57200,74300
"<a href=""http://fairfield.edu/"">Fairfield University</a>",CT,35212,69000,93700,125500
"<a href=""http://northhaven.paulmitchell.edu"">Northhaven Academy</a>",CT,17734,22300,39600,58800
"<a href=""http://www.ccc.commnet.edu"">Capital Community College</a>",CT,8457,35000,51000,70600
"<a href=""http://americaninstitute.edu"">Fox Institute of Business-West Hartford</a>",CT,13764,29200,40500,51700
"<a href=""http://www.hartford.edu"">University of Hartford</a>",CT,29140,45900,65400,85200
"<a href=""http://www.hcc.commnet.edu"">Housatonic Community College</a>",CT,5655,30100,44700,67000
"<a href=""http://www.mcc.commnet.edu/"">Manchester Community College</a>",CT,4319,33800,48400,65600
"<a href=""http://www.nv.edu"">Naugatuck Valley Community College</a>",CT,6145,32500,53200,71200
"<a href=""http://www.mxcc.commnet.edu"">Middlesex Community College</a>",CT,4319,30100,48700,65700
"<a href=""http://www.mitchell.edu"">Mitchell College</a>",CT,28585,29800,46100,62300
"<a href=""http://www.trcc.commnet.edu"">Three Rivers Community College</a>",CT,4516,32600,50800,72900
"<a href=""http://www.lincolnedu.com"">Lincoln Technical Institute-New Britain</a>",CT,17949,39400,56300,72200
"<a href=""http://WWW.NETTTS.COM"">New England Tractor Trailer Training School of Connecticut</a>",CT,10133,36800,52700,66900
"<a href=""http://www.newhaven.edu"">University of New Haven</a>",CT,30503,48900,67800,89500
"<a href=""http://www.ridley.edu"">Ridley-Lowell Business & Technical Institute-New London</a>",CT,21068,26800,43800,56900
"<a href=""http://www.ncc.commnet.edu"">Norwalk Community College</a>",CT,8455,31900,48100,69900
"<a href=""http://www.nwcc.commnet.edu"">Northwestern Connecticut Community College</a>",CT,4866,27000,36700,54800
"<a href=""http://www.porterchester.com"">Porter and Chester Institute of Stratford</a>",CT,24551,36300,52600,68500
"<a href=""http://www.post.edu/"">Post University</a>",CT,37460,36600,54600,78800
"<a href=""http://www.qvcc.edu"">Quinebaug Valley Community College</a>",CT,6381,25100,38700,59900
"<a href=""http://www.quinnipiac.edu"">Quinnipiac University</a>",CT,35159,56400,77600,102400
"<a href=""http://www.sacredheart.edu"">Sacred Heart University</a>",CT,35137,54100,73900,96600
"<a href=""http://www.usj.edu"">University of Saint Joseph</a>",CT,24868,49700,63900,80800
"<a href=""http://www.gwcc.commnet.edu/"">Gateway Community College</a>",CT,6963,30200,46900,67500
"<a href=""http://www.stvincentscollege.edu"">St Vincent's College</a>",CT,17343,64000,81600,98100
"<a href=""http://www.southernct.edu"">Southern Connecticut State University</a>",CT,14750,41700,58600,77300
"<a href=""http://www.stoneacademy.com"">Stone Academy-Hamden</a>",CT,19489,28700,39900,50700
"<a href=""http://www.Trincoll.edu"">Trinity College</a>",CT,26419,56100,82900,126800
"<a href=""http://www.tunxis.edu"">Tunxis Community College</a>",CT,6811,34300,50100,65700
"<a href=""http://www.wesleyan.edu"">Wesleyan University</a>",CT,24520,50900,71900,105200
"<a href=""http://www.wcsu.edu"">Western Connecticut State University</a>",CT,15864,43300,59300,82600
"<a href=""http://www.yale.edu"">Yale University</a>",CT,16743,66000,116600,184800
"<a href=""http://www.dawncareerinstitute.edu"">Dawn Career Institute Inc</a>",DE,20918,24700,33600,44100
"<a href=""http://https://www.dtcc.edu/our-campuses/georgetown"">Delaware Technical Community College-Owens</a>",DE,4535,28800,44200,62100
"<a href=""http://https://www.dtcc.edu/our-campuses/dover"">Delaware Technical Community College-Terry</a>",DE,5045,29000,43100,64100
"<a href=""http://https://www.dtcc.edu/our-campuses/wilmington"">Delaware Technical Community College-Stanton/Wilmington</a>",DE,4963,33500,51700,69400
"<a href=""http://www.desu.edu"">Delaware State University</a>",DE,13161,34200,50000,64300
"<a href=""http://www.udel.edu/"">University of Delaware</a>",DE,15998,54300,73900,97600
"<a href=""http://www.gbc.edu"">Goldey-Beacom College</a>",DE,19510,43900,59800,83300
"<a href=""http://www.wesley.edu"">Wesley College</a>",DE,22422,41400,58400,79000
"<a href=""http://www.wilmu.edu"">Wilmington University</a>",DE,15001,43000,56600,78200
"<a href=""http://WWW.AMERICAN.EDU"">American University</a>",DC,33437,55900,81100,110700
"<a href=""http://www.cua.edu"">Catholic University of America</a>",DC,34086,54500,77400,97200
"<a href=""http://www.corcoran.edu"">Corcoran College of Art and Design</a>",DC,28437,34100,53100,69000
"<a href=""http://www.udc.edu"">University of the District of Columbia</a>",DC,15453,36200,55100,73400
"<a href=""http://www.gallaudet.edu"">Gallaudet University</a>",DC,11804,25600,44000,60300
"<a href=""http://www.gwu.edu"">George Washington University</a>",DC,30206,64500,96100,137200
"<a href=""http://www.georgetown.edu"">Georgetown University</a>",DC,27801,83300,136500,221900
"<a href=""http://www.howard.edu"">Howard University</a>",DC,22823,46500,69200,92800
"<a href=""http://medtech.edu"">Medtech Institute</a>",VA,18772,27400,39200,51600
"<a href=""http://www.trinitydc.edu"">Trinity Washington University</a>",DC,14421,52100,69000,92200
"<a href=""http://www.wyotech.com"">Wyotech-Daytona</a>",FL,29382,32100,47200,67800
"<a href=""http://www.aifl.edu"">The Art Institute of Fort Lauderdale</a>",FL,25244,29500,45000,64800
"<a href=""http://www.atlantictechcenter.com"">Atlantic Technical Center</a>",FL,6910,33200,50200,65200
"<a href=""http://www.baptistcollege.edu"">The Baptist College of Florida</a>",FL,9766,29900,44100,69200
"<a href=""http://www.barry.edu"">Barry University</a>",FL,20129,45300,65600,93200
"<a href=""http://www.cookman.edu"">Bethune-Cookman University</a>",FL,17057,28700,42700,58500
"<a href=""http://www.lynn.edu"">Lynn University</a>",FL,33074,35500,57100,84400
"<a href=""http://www.easternflorida.edu"">Eastern Florida State College</a>",FL,6953,28700,44000,62600
"<a href=""http://www.broward.edu"">Broward College</a>",FL,8286,33400,49100,70000
"<a href=""http://www.fortis.edu"">Fortis College-Winter Park</a>",FL,27342,20900,32400,41600
"<a href=""http://www.mia.albizu.edu"">Carlos Albizu University-Miami</a>",FL,15330,24900,42900,53500
"<a href=""http://www.cf.edu"">College of Central Florida</a>",FL,8059,29700,43700,61000
"<a href=""http://www.ucf.edu/"">University of Central Florida</a>",FL,14048,43000,62200,86600
"<a href=""http://www.yourcharlotteschools.net/ctc"">Charlotte Technical Center</a>",FL,12340,20000,32200,41900
"<a href=""http://www.chipola.edu"">Chipola College</a>",FL,3926,29700,41500,55200
"<a href=""http://www.clearwater.edu"">Clearwater Christian College</a>",FL,17476,34700,50100,74100
"<a href=""http://www.DaytonaState.edu"">Daytona State College</a>",FL,7150,27000,42400,59300
"<a href=""http://www.southuniversity.edu"">South University-West Palm Beach</a>",FL,24052,29800,45900,67200
"<a href=""http://www.eckerd.edu"">Eckerd College</a>",FL,29864,40800,61600,82700
"<a href=""http://www.edison.edu"">Edison State College</a>",FL,11702,32300,47500,64100
"<a href=""http://www.ewc.edu"">Edward Waters College</a>",FL,12443,25600,39400,55100
"<a href=""http://www.erau.edu"">Embry-Riddle Aeronautical University-Daytona Beach</a>",FL,34497,60900,84500,115500
"<a href=""http://www.famu.edu"">Florida Agricultural and Mechanical University</a>",FL,11905,37300,56800,88900
"<a href=""http://www.fau.edu/"">Florida Atlantic University</a>",FL,13242,41400,58200,84800
"<a href=""http://www.fscj.edu"">Florida State College at Jacksonville</a>",FL,7460,32100,47100,65100
"<a href=""http://www.flagler.edu"">Flagler College-St Augustine</a>",FL,21011,37200,48100,69300
"<a href=""http://www.floridacollege.edu"">Florida College</a>",FL,19028,36900,53800,72800
"<a href=""http://www.concorde.edu"">Concorde Career Institute-Jacksonville</a>",FL,21114,20700,30300,41000
"<a href=""http://www.concorde.edu"">Concorde Career Institute-Miramar</a>",FL,18324,22500,32000,40400
"<a href=""http://www.concorde.edu"">Concorde Career Institute-Tampa</a>",FL,19779,23900,34000,44000
"<a href=""http://www.adu.edu"">Adventist University of Health Sciences</a>",FL,18901,51100,67000,83900
"<a href=""http://www.fit.edu"">Florida Institute of Technology</a>",FL,30624,53100,74000,92300
"<a href=""http://www.fiu.edu"">Florida International University</a>",FL,12266,45100,65200,88000
"<a href=""http://www.fkcc.edu"">Florida Keys Community College</a>",FL,12251,27100,46200,63100
"<a href=""http://www.fmuniv.edu"">Florida Memorial University</a>",FL,16493,27700,41200,54300
"<a href=""http://www.careercollege.edu"">Florida Career College-Miami</a>",FL,41874,34300,51000,68600
"<a href=""http://www.flsouthern.edu"">Florida Southern College</a>",FL,21558,37600,51300,69400
"<a href=""http://www.fsu.edu"">Florida State University</a>",FL,14691,44000,63200,87300
"<a href=""http://www.ftccollege.edu"">Florida Technical College</a>",FL,14055,26900,42300,57900
"<a href=""http://www.usmf.edu"">University of Southernmost Florida</a>",FL,8580,29800,44400,62300
"<a href=""http://www.ufl.edu/"">University of Florida</a>",FL,12582,51300,77600,109000
"<a href=""http://www.everest.edu/campus/pompano_beach"">Everest University-Pompano Beach</a>",FL,22488,30000,42700,59300
"<a href=""http://fpbeauty.com"">Fort Pierce Beauty Academy</a>",FL,6961,15500,25300,33700
"<a href=""http://www.fullsail.edu"">Full Sail University</a>",FL,29945,34100,53600,78000
"<a href=""http://www.georgestonecenter.com"">George Stone Technical Center</a>",FL,8913,21500,33800,46900
"<a href=""http://www.bakeraviation.edu"">George T Baker Aviation School</a>",FL,2392,40300,54400,79800
"<a href=""http://www.gulfcoast.edu/default.htm"">Gulf Coast State College</a>",FL,5057,29900,42600,59100
"<a href=""http://www.hccfl.edu"">Hillsborough Community College</a>",FL,5776,32500,48300,66700
"<a href=""http://www.cortiva.com"">Cortiva Institute-Florida</a>",FL,19896,25700,39800,55800
"<a href=""http://www.irsc.edu"">Indian River State College</a>",FL,1918,28700,43300,61400
"<a href=""http://www.iadt.edu/tampa"">International Academy of Design and Technology-Tampa</a>",FL,17088,27800,41900,56000
"<a href=""http://www.intl-academy.com"">International Academy</a>",FL,15411,17600,26900,42400
"<a href=""http://www.artinstitutes.edu/miami/"">AI Miami International University of Art and Design</a>",FL,25642,29300,44900,65800
"<a href=""http://www.itt-tech.edu"">ITT Technical Institute-Tampa</a>",FL,23227,38400,56000,77000
"<a href=""http://www.jacksonville.edu"">Jacksonville University</a>",FL,21216,47700,69100,91700
"<a href=""http://www.jones.edu"">Jones College-Jacksonville</a>",FL,13007,28300,41600,59800
"<a href=""http://www.keiseruniversity.edu"">Keiser University-Ft Lauderdale</a>",FL,22933,29600,44700,62400
"<a href=""http://labellebeauty.net"">La Belle Beauty School</a>",FL,8212,13500,21400,30600
"<a href=""http://https://www.fgc.edu/"">Florida Gateway College</a>",FL,4571,30200,45800,64700
"<a href=""http://www.laketech.org"">Lake Technical Center</a>",FL,8427,24100,44000,59800
"<a href=""http://www.lssc.edu"">Lake-Sumter State College</a>",FL,3886,30400,43800,63000
"<a href=""http://www.fortmyerstech.edu"">Fort Myers Institute of Technology</a>",FL,6498,28300,40300,60500
"<a href=""http://www.livelytech.com"">Lively Technical Center</a>",FL,12901,22900,34800,44800
"<a href=""http://lindsey.dadeschools.net"">Lindsey Hopkins Technical Education Center</a>",FL,6990,27900,42900,58800
"<a href=""http://www.lorainesacademy.edu/"">Loraines Academy Inc</a>",FL,19036,15600,28800,41100
"<a href=""http://www.scf.edu"">State College of Florida-Manatee-Sarasota</a>",FL,10219,29600,45500,65500
"<a href=""http://manateetech.edu/"">Manatee Technical Institute</a>",FL,3640,27100,42300,56200
"<a href=""http://www.manhattanhairstylingacademy.com"">Manhattan Hairstyling Academy</a>",FL,14857,14400,24400,37700
"<a href=""http://www.traviss.edu"">Traviss Career Center</a>",FL,6805,27300,41700,59000
"<a href=""http://mlec.dadeschools.net"">Miami Lakes Educational Center</a>",FL,9011,31700,46700,58000
"<a href=""http://www.mdc.edu/main/"">Miami Dade College</a>",FL,14614,30500,46100,65800
"<a href=""http://www.miami.edu/"">University of Miami</a>",FL,30394,52400,77800,112900
"<a href=""http://www.ocpstechcenters.net/MidFloridaTech"">Mid Florida Tech</a>",FL,11260,24400,36200,51200
"<a href=""http://www.bsa.edu/"">Beauty Schools of America-Miami</a>",FL,18224,14300,23700,34900
"<a href=""http://www.remingtoncollege.edu/tampa-technical-school-overview"">Remington College-Tampa Campus</a>",FL,19573,28900,43200,59700
"<a href=""http://www.everest.edu/campus/miami"">Everest Institute-North Miami</a>",FL,20539,26100,37200,51000
"<a href=""http://www.ahamassage.com"">Academy of Healing Arts Massage & Facial Skin Care</a>",FL,11616,17900,32800,43500
"<a href=""http://www.lincolntech.com"">Lincoln College of Technology-West Palm Beach</a>",FL,20743,31400,46300,62000
"<a href=""http://www.nfcc.edu"">North Florida Community College</a>",FL,3372,27300,36900,48000
"<a href=""http://www.unf.edu"">University of North Florida</a>",FL,11528,41600,59000,82600
"<a href=""http://www.northwood.edu"">Northwood University-Florida</a>",FL,14979,44600,64100,91200
"<a href=""http://www.nova.edu"">Nova Southeastern University</a>",FL,27998,46500,71300,112300
"<a href=""http://www.nwfsc.edu/"">Northwest Florida State College</a>",FL,8362,29500,42800,62300
"<a href=""http://www.everest.edu/campus/north_orlando"">Everest University-North Orlando</a>",FL,21330,25300,38100,53200
"<a href=""http://www.orlandotech.ocps.net"">Orlando Tech</a>",FL,13450,31500,45600,58700
"<a href=""http://www.pba.edu"">Palm Beach Atlantic University</a>",FL,22152,38100,54800,81300
"<a href=""http://www.palmbeachstate.edu/"">Palm Beach State College</a>",FL,2557,31500,46100,65000
"<a href=""http://www.phcc.edu"">Pasco-Hernando Community College</a>",FL,6088,29100,44900,62400
"<a href=""http://www.pensacolastate.edu"">Pensacola State College</a>",FL,7904,27500,42400,59600
"<a href=""http://www.myptec.org"">Pinellas Technical Education Center-Clearwater</a>",FL,11541,25100,42400,53100
"<a href=""http://www.polk.edu"">Polk State College</a>",FL,9259,31200,46200,63100
"<a href=""http://www.ringling.edu"">Ringling College of Art and Design</a>",FL,45774,32800,56200,92400
"<a href=""http://rmec.dadeschools.net"">Robert Morgan Educational Center</a>",FL,7834,25900,38200,53900
"<a href=""http://www.rollins.edu"">Rollins College</a>",FL,29427,42200,59300,91400
"<a href=""http://fctc.edu/"">First Coast Technical College</a>",FL,9252,21700,32700,45300
"<a href=""http://www.saintleo.edu"">Saint Leo University</a>",FL,21193,42600,63600,89400
"<a href=""http://www.spcollege.edu"">St Petersburg College</a>",FL,8091,32000,47800,66200
"<a href=""http://myptec.org"">Pinellas Technical Education Center-St Petersburg</a>",FL,13263,29600,43100,55000
"<a href=""http://www.sfcollege.edu"">Santa Fe College</a>",FL,9601,33500,50700,70700
"<a href=""http://www.seminolestate.edu/"">Seminole State College of Florida</a>",FL,8914,32300,48400,68000
"<a href=""http://www.SheridanTechnical.com"">Sheridan Technical Center</a>",FL,4237,31000,44500,60700
"<a href=""http://www.sjrstate.edu"">Saint Johns River State College</a>",FL,6757,29500,47100,64300
"<a href=""http://www.southflorida.edu"">South Florida State College</a>",FL,5491,28300,41800,57600
"<a href=""http://www.usf.edu"">University of South Florida-Main Campus</a>",FL,10281,41700,58300,81300
"<a href=""http://www.stu.edu"">St Thomas University</a>",FL,18466,42600,63900,90000
"<a href=""http://www.stenotype.edu"">Stenotype Institute of Jacksonville Inc-Jacksonville</a>",FL,25137,27100,40400,52100
"<a href=""http://www.stetson.edu"">Stetson University</a>",FL,21815,42600,60300,88300
"<a href=""http://www.seu.edu/"">Southeastern University</a>",FL,18732,32600,46300,62600
"<a href=""http://https://www.bisbschoolfl.com/"">Benes International School of Beauty</a>",FL,16875,18700,28600,42500
"<a href=""http://https://www.tcc.fl.edu"">Tallahassee Community College</a>",FL,5020,30900,46000,63300
"<a href=""http://www.everest.edu/campus/tampa"">Everest University-Tampa</a>",FL,22437,26200,39900,55400
"<a href=""http://www.everest.edu/campus/largo"">Everest University-Largo</a>",FL,22612,25300,37700,53700
"<a href=""http://www.ut.edu"">The University of Tampa</a>",FL,27955,44400,63800,88400
"<a href=""http://www.bayschools.com/htc"">Tom P Haney Technical Center</a>",FL,6388,22400,33200,45100
"<a href=""http://www.tbc.edu"">Trinity Baptist College</a>",FL,11766,26700,43700,56000
"<a href=""http://valenciacollege.edu"">Valencia College</a>",FL,6360,32100,47300,66000
"<a href=""http://www.warner.edu"">Warner University</a>",FL,15810,42200,60300,83600
"<a href=""http://whtc.us"">Washington-Holmes Technical Center</a>",FL,19298,21100,34300,44000
"<a href=""http://www.webber.edu"">Webber International University</a>",FL,19384,35800,54700,69700
"<a href=""http://rasmussen.edu"">Rasmussen College-Florida</a>",FL,19529,31300,45100,58200
"<a href=""http://uwf.edu"">The University of West Florida</a>",FL,12191,36300,50400,74300
"<a href=""http://www.mcfattertech.com"">William T McFatter Technical Center</a>",FL,4047,31700,49300,64600
"<a href=""http://www.wpt.ocps.net"">Winter Park Tech</a>",FL,22833,20400,30800,41200
"<a href=""http://www.wtionline.cc"">Withlacoochee Technical Institute</a>",FL,5809,26200,38400,51100
"<a href=""http://www.abac.edu"">Abraham Baldwin Agricultural College</a>",GA,9477,31900,46400,64500
"<a href=""http://www.agnesscott.edu"">Agnes Scott College</a>",GA,18635,39400,53600,79600
"<a href=""http://www.ict.edu"">Interactive College of Technology-Chamblee</a>",GA,11605,22700,35200,50800
"<a href=""http://ict.edu"">Interactive College of Technology-Morrow</a>",GA,13075,22700,35200,50800
"<a href=""http://www.albanytech.edu"">Albany Technical College</a>",GA,485,22000,34000,51400
"<a href=""http://www.darton.edu"">Darton State College</a>",GA,7155,31700,49200,69200
"<a href=""http://www.asurams.edu/"">Albany State University</a>",GA,13154,32700,45400,61200
"<a href=""http://www.andrewcollege.edu"">Andrew College</a>",GA,15702,26400,37000,50500
"<a href=""http://www.armstrong.edu"">Armstrong Atlantic State University</a>",GA,14795,39400,54500,74100
"<a href=""http://www.artinstitutes.edu/atlanta"">The Art Institute of Atlanta</a>",GA,26846,31600,48000,67200
"<a href=""http://gci.edu/"">Georgia Career Institute</a>",GA,9449,14200,27000,40200
"<a href=""http://www.atlantatech.edu/"">Atlanta Technical College</a>",GA,3009,21900,36200,50900
"<a href=""http://www.point.edu"">Point University</a>",GA,17800,28800,41400,59500
"<a href=""http://www.atlm.edu"">Atlanta Metropolitan State College</a>",GA,10946,26700,39000,54700
"<a href=""http://www.atlantaschoolofmassage.com"">Atlanta School of Massage</a>",GA,13864,28400,45400,61000
"<a href=""http://www.cau.edu"">Clark Atlanta University</a>",GA,30575,33700,50500,71600
"<a href=""http://www.augustatech.edu"">Augusta Technical College</a>",GA,9142,22400,36100,53000
"<a href=""http://www.bainbridge.edu"">Bainbridge State College</a>",GA,4413,24200,36200,48800
"<a href=""http://www.bauder.edu/"">Bauder College</a>",GA,19693,24400,37600,53800
"<a href=""http://www.berry.edu"">Berry College</a>",GA,21327,37700,53600,82500
"<a href=""http://www.beulah.edu"">Beulah Heights University</a>",GA,10339,26800,38700,54600
"<a href=""http://www.brenau.edu"">Brenau University</a>",GA,15493,42600,57400,77600
"<a href=""http://www.bpc.edu"">Brewton-Parker College</a>",GA,13146,34700,45600,63000
"<a href=""http://www.bccr.edu"">Brown College of Court Reporting</a>",GA,24427,27600,42900,61700
"<a href=""http://www.ccga.edu"">College of Coastal Georgia</a>",GA,11144,28000,43000,60000
"<a href=""http://www.westgatech.edu"">West Georgia Technical College</a>",GA,4313,27800,41100,57500
"<a href=""http://www.clayton.edu"">Clayton State University</a>",GA,12015,38500,56000,73500
"<a href=""http://www.columbustech.edu/"">Columbus Technical College</a>",GA,8515,26000,39600,54300
"<a href=""http://www.columbusstate.edu"">Columbus State University</a>",GA,11560,36100,49600,69100
"<a href=""http://www.gntc.edu"">Georgia Northwestern Technical College</a>",GA,4779,25700,37900,51800
"<a href=""http://www.covenant.edu"">Covenant College</a>",GA,20141,39800,58700,83600
"<a href=""http://www.daltonstate.edu/"">Dalton State College</a>",GA,5607,30400,42200,57700
"<a href=""http://www.southuniversity.edu"">South University-Savannah</a>",GA,24695,29800,45900,67200
"<a href=""http://www.ega.edu"">East Georgia State College</a>",GA,5579,29700,43300,58800
"<a href=""http://www.ec.edu"">Emmanuel College</a>",GA,12333,32900,46100,60000
"<a href=""http://www.emory.edu"">Emory University</a>",GA,28463,59000,90800,135900
"<a href=""http://www.highlands.edu"">Georgia Highlands College</a>",GA,5993,34100,51700,68500
"<a href=""http://www.fvsu.edu"">Fort Valley State University</a>",GA,14220,28900,42100,58300
"<a href=""http://www.gatech.edu"">Georgia Institute of Technology-Main Campus</a>",GA,11053,74000,98300,130000
"<a href=""http://gsw.edu/main/"">Georgia Southwestern State University</a>",GA,12247,36400,50100,69000
"<a href=""http://WWW.GCSU.EDU"">Georgia College and State University</a>",GA,16352,38500,53400,70600
"<a href=""http://www.gmc.cc.ga.us/"">Georgia Military College</a>",GA,13140,31300,47200,65400
"<a href=""http://www.georgiasouthern.edu"">Georgia Southern University</a>",GA,16405,39300,55300,75900
"<a href=""http://www.gsu.edu"">Georgia State University</a>",GA,15377,41500,59000,81800
"<a href=""http://www.uga.edu"">University of Georgia</a>",GA,11990,46500,67200,96200
"<a href=""http://www.gordonstate.edu/"">Gordon State College</a>",GA,8798,29900,43300,60800
"<a href=""http://www.sctech.edu"">Southern Crescent Technical College</a>",GA,9577,25100,38800,53300
"<a href=""http://WWW.GUPTON-JONES.EDU"">Gupton Jones College of Funeral Service</a>",GA,16485,29100,45900,60200
"<a href=""http://www.gwinnettcollege.edu"">Gwinnett College-Lilburn</a>",GA,22191,26400,36900,46700
"<a href=""http://www.GwinnettTech.edu"">Gwinnett Technical College</a>",GA,6336,33600,51600,69800
"<a href=""http://www.kennesaw.edu"">Kennesaw State University</a>",GA,15602,41300,58300,80700
"<a href=""http://www.lagrange.edu"">LaGrange College</a>",GA,17828,38100,51000,70500
"<a href=""http://www.laniertech.edu"">Lanier Technical College</a>",GA,5139,25800,39800,54600
"<a href=""http://www.life.edu"">Life University</a>",GA,22479,32200,56700,90300
"<a href=""http://www.chattahoocheetech.edu"">Chattahoochee Technical College</a>",GA,1877,28400,42700,58800
"<a href=""http://www.herzing.edu"">Herzing University-Atlanta</a>",GA,21925,42300,58400,77200
"<a href=""http://www.mercer.edu"">Mercer University</a>",GA,19472,46600,73500,114200
"<a href=""http://www.morehouse.edu"">Morehouse College</a>",GA,30456,40900,64200,96300
"<a href=""http://www.moultrietech.edu"">Moultrie Technical College</a>",GA,5230,21900,33100,50400
"<a href=""http://www.northgatech.edu"">North Georgia Technical College</a>",GA,2594,21200,32700,43700
"<a href=""http://www.oglethorpe.edu"">Oglethorpe University</a>",GA,19721,43900,63300,91000
"<a href=""http://www.paine.edu"">Paine College</a>",GA,14392,25900,39400,56000
"<a href=""http://www.piedmont.edu"">Piedmont College</a>",GA,15989,38800,51800,67100
"<a href=""http://www.portfoliocenter.edu"">Portfolio Center</a>",GA,37133,47900,77800,137700
"<a href=""http://www.reinhardt.edu"">Reinhardt University</a>",GA,18562,35400,50200,65500
"<a href=""http://www.savannahtech.edu"">Savannah Technical College</a>",GA,4338,25800,39000,54500
"<a href=""http://www.scad.edu"">Savannah College of Art and Design</a>",GA,35014,35400,55300,78400
"<a href=""http://www.savannahstate.edu/"">Savannah State University</a>",GA,10184,30800,46200,64700
"<a href=""http://www.shorter.edu"">Shorter University</a>",GA,17121,43000,62800,85400
"<a href=""http://www.southgatech.edu"">South Georgia Technical College</a>",GA,2965,23300,37400,53500
"<a href=""http://www.spelman.edu"">Spelman College</a>",GA,31923,46400,64200,87400
"<a href=""http://www.spsu.edu/"">Southern Polytechnic State University</a>",GA,10889,52400,72600,91300
"<a href=""http://www.southwestgatech.edu/"">Southwest Georgia Technical College</a>",GA,2142,25200,37800,50900
"<a href=""http://www.thomasu.edu"">Thomas University</a>",GA,15327,37400,52000,69400
"<a href=""http://www.tfc.edu"">Toccoa Falls College</a>",GA,16526,26400,40000,52700
"<a href=""http://www.truett.edu"">Truett-McConnell College</a>",GA,15457,32400,45700,64600
"<a href=""http://www.wiregrass.edu"">Wiregrass Georgia Technical College</a>",GA,2621,24100,35100,46600
"<a href=""http://www.valdosta.edu"">Valdosta State University</a>",GA,15672,38000,50600,68600
"<a href=""http://www.wesleyancollege.edu"">Wesleyan College</a>",GA,13232,37100,50800,67300
"<a href=""http://www.westga.edu"">University of West Georgia</a>",GA,13514,36900,50400,69000
"<a href=""http://www.yhc.edu"">Young Harris College</a>",GA,15661,34100,51000,64000
"<a href=""http://www.heald.edu/locations/honolulu"">Heald College-Honolulu</a>",HI,18820,37400,56000,78300
"<a href=""http://www.chaminade.edu"">Chaminade University of Honolulu</a>",HI,19551,37300,52900,77200
"<a href=""http://hilo.hawaii.edu"">University of Hawaii at Hilo</a>",HI,9749,34500,50200,69000
"<a href=""http://manoa.hawaii.edu"">University of Hawaii at Manoa</a>",HI,11102,44300,61900,89000
"<a href=""http://www.hpu.edu"">Hawaii Pacific University</a>",HI,20967,43400,68000,97500
"<a href=""http://www2.honolulu.hawaii.edu"">Honolulu Community College</a>",HI,4342,31200,48000,69200
"<a href=""http://kapiolani.hawaii.edu/page/home"">Kapiolani Community College</a>",HI,4388,33300,51100,81000
"<a href=""http://kauai.hawaii.edu"">Kauai Community College</a>",HI,5877,31900,54200,76200
"<a href=""http://www.leeward.hawaii.edu"">Leeward Community College</a>",HI,1816,29700,44700,70900
"<a href=""http://maui.hawaii.edu"">University of Hawaii Maui College</a>",HI,6706,28900,44700,61000
"<a href=""http://www.mash.edu/"">Med-Assist School of Hawaii Inc</a>",HI,21761,32100,40400,47600
"<a href=""http://WWW.TIPHAWAII.COM"">Travel Institute of the Pacific</a>",HI,11238,23800,34500,47400
"<a href=""http://westoahu.hawaii.edu"">University of Hawaii-West Oahu</a>",HI,6118,42300,52200,72000
"<a href=""http://windward.hawaii.edu"">Windward Community College</a>",HI,6662,32200,48400,66500
"<a href=""http://www.carrington.edu"">Carrington College-Boise</a>",ID,22487,25800,37500,52600
"<a href=""http://www.boisestate.edu"">Boise State University</a>",ID,14404,35300,53700,75100
"<a href=""http://www.eitc.edu"">Eastern Idaho Technical College</a>",ID,8164,28400,40000,54200
"<a href=""http://www.isu.edu/"">Idaho State University</a>",ID,15104,35400,57400,82600
"<a href=""http://www.uidaho.edu"">University of Idaho</a>",ID,13051,39900,59700,83100
"<a href=""http://www.collegeofidaho.edu"">The College of Idaho</a>",ID,16681,38900,58300,79600
"<a href=""http://www.lcsc.edu"">Lewis-Clark State College</a>",ID,12152,32700,47200,65200
"<a href=""http://www.itt-tech.edu"">ITT Technical Institute-Boise</a>",ID,23914,38400,56000,77000
"<a href=""http://www.nic.edu/"">North Idaho College</a>",ID,9599,29000,44200,62500
"<a href=""http://www.nnu.edu"">Northwest Nazarene University</a>",ID,19101,36500,54000,72900
"<a href=""http://www.byui.edu"">Brigham Young University-Idaho</a>",ID,7409,39000,62000,88300
"<a href=""http://www.csi.edu"">College of Southern Idaho</a>",ID,5904,26900,41400,59400
"<a href=""http://www.aaart.edu"">American Academy of Art</a>",IL,26573,26700,42000,60000
"<a href=""http://www.saic.edu"">School of the Art Institute of Chicago</a>",IL,38809,31700,49400,68500
"<a href=""http://www.augustana.edu"">Augustana College</a>",IL,22969,49600,67600,89900
"<a href=""http://www.aurora.edu"">Aurora University</a>",IL,17075,41500,57200,79500
"<a href=""http://www.swic.edu"">Southwestern Illinois College</a>",IL,9503,26000,41200,59500
"<a href=""http://www.bhc.edu"">Black Hawk College</a>",IL,5503,29000,44400,61200
"<a href=""http://www.blackburn.edu"">Blackburn College</a>",IL,13536,38000,53300,71600
